                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90169,                 3.6828,                 1.3691,                0.39767,                   0.67,                0.28445,                0.26687,                0.44086,                 5.0847,                 1.0124,                5.2e-05,                5.2e-05,                5.2e-05
                      2,                0.51164,                 2.4558,                 1.0742,                0.23414,                0.77573,                0.46286,                0.43168,                0.41021,                  3.679,                0.97836,             0.00010666,             0.00010666,             0.00010666
                      3,                0.44513,                  1.938,                 1.0291,                0.49725,                   0.73,                0.65947,                0.64286,                0.31968,                 3.0092,                 0.9257,             0.00015994,             0.00015994,             0.00015994
                      4,                0.42072,                 1.5807,                 1.0168,                0.71287,                0.61728,                0.76416,                0.68223,                0.47698,                 2.1186,                 1.0696,             0.00021183,             0.00021183,             0.00021183
                      5,                0.48295,                 1.5606,                 1.0512,                 0.8373,                0.70787,                0.90857,                0.79723,                0.43791,                 2.4686,                 1.0271,             0.00026234,             0.00026234,             0.00026234
                      6,                0.47513,                 1.4604,                 1.0217,                0.83207,                    0.6,                0.77801,                0.76899,                0.27367,                 2.3819,                0.88577,             0.00031146,             0.00031146,             0.00031146
                      7,                0.46809,                 1.2772,                0.99351,                0.85209,                0.70915,                  0.883,                0.85822,                0.29332,                 1.6061,                0.90983,             0.00035919,             0.00035919,             0.00035919
                      8,                 0.5194,                 1.2553,                  1.029,                0.83244,                0.71301,                 0.8825,                0.82495,                0.39023,                 1.8744,                0.99558,             0.00036535,             0.00036535,             0.00036535
                      9,                0.49846,                 1.2011,                 1.0213,                0.71022,                   0.86,                0.79447,                0.42724,                0.89124,                 2.8238,                 1.3978,              0.0003604,              0.0003604,              0.0003604
                     10,                0.47508,                 1.1257,                0.99827,                0.93457,                0.94644,                  0.955,                0.90579,                0.33674,                 1.0227,                0.99318,             0.00035545,             0.00035545,             0.00035545
                     11,                0.43301,                 1.0314,                 1.0148,                0.72999,                0.95482,                0.95583,                0.93357,                0.29078,                 1.0924,                0.92708,              0.0003505,              0.0003505,              0.0003505
                     12,                0.50609,                 1.0935,                 1.0409,                0.77509,                0.86681,                0.97357,                0.94101,                0.31538,                 1.2645,                0.90249,             0.00034555,             0.00034555,             0.00034555
                     13,                0.44119,                0.93678,                 1.0075,                0.85927,                0.88266,                  0.995,                0.91304,                0.39373,                 1.0541,                0.97094,              0.0003406,              0.0003406,              0.0003406
                     14,                0.41913,                0.87668,                0.98357,                 0.8238,                0.95218,                  0.995,                0.91088,                0.45258,                 1.2372,                 1.1026,             0.00033565,             0.00033565,             0.00033565
                     15,                0.46545,                0.89687,                 1.0122,                0.94229,                      1,                  0.995,                0.94124,                0.40971,                0.73087,                 1.0282,              0.0003307,              0.0003307,              0.0003307
                     16,                0.43388,                0.86569,                0.98222,                0.89981,                0.96418,                  0.975,                0.91427,                0.35747,                0.76811,                0.93163,             0.00032575,             0.00032575,             0.00032575
                     17,                 0.4411,                 0.9867,                0.97057,                0.95163,                0.96894,                  0.995,                0.94859,                0.35149,                0.61416,                0.96447,              0.0003208,              0.0003208,              0.0003208
                     18,                0.44399,                0.87566,                 1.0135,                0.86007,                0.90244,                  0.985,                0.96987,                0.32313,                0.77346,                 0.9361,             0.00031585,             0.00031585,             0.00031585
                     19,                0.38206,                0.79821,                0.95752,                0.92639,                0.90175,                  0.995,                0.97885,                0.28042,                0.68251,                0.89141,              0.0003109,              0.0003109,              0.0003109
                     20,                0.41611,                0.91965,                0.99043,                0.75208,                0.87397,                0.89917,                0.86674,                0.30981,                0.82774,                0.92395,             0.00030595,             0.00030595,             0.00030595
                     21,                0.41665,                0.91776,                0.98459,                0.80147,                0.88859,                0.97833,                 0.9486,                0.29478,                0.73881,                0.89852,               0.000301,               0.000301,               0.000301
                     22,                0.41411,                0.81552,                0.98306,                0.86218,                0.90291,                  0.985,                  0.952,                0.31592,                0.77747,                0.90974,             0.00029605,             0.00029605,             0.00029605
                     23,                0.41161,                0.74107,                0.99309,                0.88278,                0.93076,                0.97357,                0.91934,                0.33552,                0.84348,                0.93729,              0.0002911,              0.0002911,              0.0002911
                     24,                0.42034,                0.77648,                 0.9965,                0.84521,                 0.8597,                0.88299,                0.84403,                0.34345,                 1.1258,                0.95924,             0.00028615,             0.00028615,             0.00028615
                     25,                0.38268,                0.72176,                0.93117,                0.94365,                0.90413,                0.94786,                0.91236,                 0.3949,                0.76228,                0.96093,              0.0002812,              0.0002812,              0.0002812
                     26,                 0.4027,                0.74459,                0.98796,                0.91566,                0.90422,                0.97167,                 0.9322,                0.31164,                0.77066,                0.91156,             0.00027625,             0.00027625,             0.00027625
                     27,                0.35563,                0.64142,                0.92731,                0.94078,                0.95749,                  0.995,                0.95643,                 0.3145,                0.49228,                0.91419,              0.0002713,              0.0002713,              0.0002713
                     28,                0.37705,                0.70314,                0.94811,                0.95002,                0.99062,                  0.995,                0.93501,                0.33346,                0.51517,                0.92554,             0.00026635,             0.00026635,             0.00026635
                     29,                0.41715,                0.66902,                0.98872,                0.88588,                 0.9584,                  0.995,                0.95027,                0.37241,                0.68624,                0.93482,              0.0002614,              0.0002614,              0.0002614
                     30,                0.36074,                0.62285,                0.95486,                0.92693,                0.89933,                  0.955,                0.91155,                0.31992,                0.58089,                0.91146,             0.00025645,             0.00025645,             0.00025645
                     31,                 0.3828,                0.76559,                0.95993,                0.93008,                0.94681,                  0.985,                0.94651,                0.30329,                0.48627,                0.89519,              0.0002515,              0.0002515,              0.0002515
                     32,                0.40455,                0.60213,                0.97292,                0.92069,                0.96323,                 0.9552,                0.93161,                0.28923,                0.54308,                0.88519,             0.00024655,             0.00024655,             0.00024655
                     33,                0.37718,                0.56235,                0.95796,                0.87469,                0.92063,                0.95333,                0.92358,                0.28941,                0.52505,                0.88281,              0.0002416,              0.0002416,              0.0002416
                     34,                0.33665,                0.45829,                0.92845,                0.87942,                0.98971,                  0.995,                0.94785,                0.30467,                0.44984,                 0.8992,             0.00023665,             0.00023665,             0.00023665
                     35,                0.35126,                0.53149,                0.93437,                0.87684,                      1,                  0.995,                0.95283,                0.31626,                 0.4511,                0.90368,              0.0002317,              0.0002317,              0.0002317
                     36,                0.34821,                0.55021,                0.93438,                0.97962,                      1,                  0.995,                0.95995,                0.37549,                0.36977,                0.98243,             0.00022675,             0.00022675,             0.00022675
                     37,                0.33522,                0.57596,                0.93694,                0.98515,                      1,                  0.995,                0.96368,                0.31065,                0.35778,                0.90209,              0.0002218,              0.0002218,              0.0002218
                     38,                0.38448,                0.57957,                0.98212,                0.97263,                      1,                  0.995,                0.96375,                0.30144,                0.35377,                0.89524,             0.00021685,             0.00021685,             0.00021685
                     39,                0.34352,                0.51225,                 0.9524,                0.97833,                 0.9662,                  0.995,                 0.9437,                 0.3139,                0.38464,                0.91079,              0.0002119,              0.0002119,              0.0002119
                     40,                0.33956,                0.54919,                0.93552,                0.97304,                0.95301,                  0.995,                0.94994,                0.32606,                0.40256,                0.91235,             0.00020695,             0.00020695,             0.00020695
                     41,                0.35568,                0.55321,                0.94617,                0.97607,                0.99605,                  0.995,                0.95834,                0.29668,                0.32895,                0.89801,               0.000202,               0.000202,               0.000202
                     42,                 0.3037,                0.50984,                0.91682,                0.96719,                0.97159,                  0.995,                0.95175,                0.28933,                0.37285,                0.91109,             0.00019705,             0.00019705,             0.00019705
                     43,                0.31266,                0.44418,                0.93655,                0.97784,                0.91215,                  0.985,                0.94008,                0.30504,                0.38994,                0.92143,              0.0001921,              0.0001921,              0.0001921
                     44,                0.33364,                0.46974,                0.92834,                0.91346,                0.93256,                  0.995,                0.96864,                0.29012,                0.45686,                0.89168,             0.00018715,             0.00018715,             0.00018715
                     45,                0.30892,                0.45469,                  0.923,                0.95364,                0.92085,                  0.995,                0.96864,                0.25293,                0.42289,                0.86432,              0.0001822,              0.0001822,              0.0001822
                     46,                0.29955,                0.46245,                0.90974,                0.96523,                 0.9237,                  0.995,                0.96322,                 0.2759,                 0.3632,                0.86562,             0.00017725,             0.00017725,             0.00017725
                     47,                0.34153,                0.49544,                0.96617,                0.91609,                0.96391,                  0.995,                0.96028,                0.27825,                0.36219,                0.87073,              0.0001723,              0.0001723,              0.0001723
                     48,                0.32937,                0.44497,                0.94657,                0.96345,                 0.9254,                  0.995,                0.97285,                  0.261,                0.35775,                0.86634,             0.00016735,             0.00016735,             0.00016735
                     49,                 0.3122,                0.44178,                0.92054,                0.96815,                0.96339,                  0.995,                0.97698,                0.24171,                0.27334,                0.85206,              0.0001624,              0.0001624,              0.0001624
                     50,                0.28576,                0.38741,                0.90089,                0.98126,                      1,                  0.995,                 0.9835,                0.25076,                0.26589,                0.85072,             0.00015745,             0.00015745,             0.00015745
                     51,                0.30402,                 0.3975,                0.90099,                0.98423,                      1,                  0.995,                0.98349,                0.25844,                0.27668,                0.85045,              0.0001525,              0.0001525,              0.0001525
                     52,                0.28141,                0.40691,                 0.9228,                0.98554,                      1,                  0.995,                0.99012,                0.27286,                0.28161,                0.84602,             0.00014755,             0.00014755,             0.00014755
                     53,                0.27769,                0.36578,                0.91329,                 0.9821,                      1,                  0.995,                0.97613,                0.27211,                0.28144,                0.84885,              0.0001426,              0.0001426,              0.0001426
                     54,                0.29582,                 0.3678,                0.91502,                 0.9818,                 0.9651,                  0.995,                0.97861,                 0.2565,                0.34981,                0.84546,             0.00013765,             0.00013765,             0.00013765
                     55,                0.30141,                 0.4263,                0.92144,                0.98406,                0.96434,                  0.995,                0.97856,                0.25335,                0.32578,                0.84911,              0.0001327,              0.0001327,              0.0001327
                     56,                0.30897,                0.42591,                0.92716,                0.97483,                0.99314,                  0.995,                0.97529,                0.25011,                0.30051,                0.85593,             0.00012775,             0.00012775,             0.00012775
                     57,                0.27226,                0.41946,                0.90142,                0.97475,                0.99371,                  0.995,                0.97402,                0.25969,                 0.2995,                0.86232,              0.0001228,              0.0001228,              0.0001228
                     58,                0.27003,                0.40597,                0.89174,                 0.9625,                0.97248,                  0.995,                0.98272,                0.26601,                0.29859,                0.86223,             0.00011785,             0.00011785,             0.00011785
                     59,                0.26361,                0.38732,                0.90579,                0.94475,                0.97061,                  0.995,                0.97387,                0.26108,                0.30782,                0.85831,              0.0001129,              0.0001129,              0.0001129
                     60,                0.25759,                0.39936,                0.90453,                0.97769,                0.96342,                  0.995,                0.97152,                0.25697,                0.28541,                0.86742,             0.00010795,             0.00010795,             0.00010795
                     61,                0.27384,                0.38255,                0.89326,                 0.9827,                0.95418,                  0.995,                0.97289,                0.25429,                0.30458,                0.87641,               0.000103,               0.000103,               0.000103
                     62,                0.24188,                0.35411,                 0.8957,                0.98755,                0.95729,                  0.995,                0.96795,                0.26049,                0.28564,                0.88299,              9.805e-05,              9.805e-05,              9.805e-05
                     63,                0.25117,                 0.3755,                 0.8974,                0.98529,                0.96063,                  0.995,                 0.9671,                0.26246,                0.28764,                0.87503,               9.31e-05,               9.31e-05,               9.31e-05
                     64,                0.25613,                0.34108,                0.91028,                0.98287,                0.96159,                  0.995,                0.97182,                0.26615,                0.31856,                0.86483,              8.815e-05,              8.815e-05,              8.815e-05
                     65,                0.26707,                0.36965,                0.90318,                0.97072,                 0.9692,                  0.995,                 0.9835,                0.25228,                0.31752,                0.84573,               8.32e-05,               8.32e-05,               8.32e-05
                     66,                0.24928,                0.36063,                0.91125,                0.97701,                0.95943,                  0.995,                 0.9835,                0.23435,                0.37079,                0.83587,              7.825e-05,              7.825e-05,              7.825e-05
                     67,                0.24157,                 0.3503,                 0.8784,                0.97919,                0.95871,                  0.995,                 0.9835,                0.22904,                0.35622,                0.83587,               7.33e-05,               7.33e-05,               7.33e-05
                     68,                0.24563,                0.32092,                0.91361,                0.98232,                0.95751,                  0.995,                0.98519,                0.22032,                 0.3435,                 0.8372,              6.835e-05,              6.835e-05,              6.835e-05
                     69,                0.24107,                0.31077,                0.88243,                0.98933,                0.95664,                  0.995,                0.99013,                0.22161,                0.30251,                0.83822,               6.34e-05,               6.34e-05,               6.34e-05
                     70,                0.24865,                0.31479,                0.89902,                0.99105,                0.95736,                  0.995,                0.98524,                0.22063,                0.27327,                0.83953,              5.845e-05,              5.845e-05,              5.845e-05
                     71,                0.24111,                0.41716,                0.87563,                0.96371,                0.99246,                  0.995,                0.98521,                0.21895,                0.25606,                0.83805,               5.35e-05,               5.35e-05,               5.35e-05
                     72,                0.22749,                0.35267,                0.87011,                0.98521,                      1,                  0.995,                0.97891,                0.21682,                0.23136,                0.83702,              4.855e-05,              4.855e-05,              4.855e-05
                     73,                 0.2332,                0.37358,                0.86899,                0.98471,                      1,                  0.995,                0.97719,                0.21827,                0.23848,                  0.841,               4.36e-05,               4.36e-05,               4.36e-05
                     74,                0.21807,                0.33938,                0.86365,                0.98581,                      1,                  0.995,                0.98256,                0.22271,                0.24111,                 0.8444,              3.865e-05,              3.865e-05,              3.865e-05
                     75,                 0.1988,                 0.2939,                0.83412,                0.98653,                      1,                  0.995,                0.98879,                0.22574,                0.24846,                0.84566,               3.37e-05,               3.37e-05,               3.37e-05
                     76,                0.19357,                0.29703,                0.86354,                0.98872,                      1,                  0.995,                0.98176,                0.22876,                0.24403,                 0.8452,              2.875e-05,              2.875e-05,              2.875e-05
                     77,                0.19443,                 0.2772,                 0.8705,                0.98843,                      1,                  0.995,                 0.9888,                0.22405,                0.23409,                0.84223,               2.38e-05,               2.38e-05,               2.38e-05
                     78,                0.19605,                 0.3099,                0.85938,                0.98259,                      1,                  0.995,                0.98881,                0.22017,                0.22494,                0.83951,              1.885e-05,              1.885e-05,              1.885e-05
                     79,                0.19365,                0.26929,                0.84052,                0.98166,                      1,                  0.995,                0.98881,                0.21788,                0.22087,                0.83801,               1.39e-05,               1.39e-05,               1.39e-05
                     80,                0.19144,                0.26116,                0.86368,                0.98467,                      1,                  0.995,                0.98882,                0.21858,                0.21615,                0.83864,               8.95e-06,               8.95e-06,               8.95e-06
